units,series_id,name,dataset_name
billion Btu,ELEC.RECEIPTS_BTU.BIT-IL-2.M,Receipts of fossil fuels by electricity plants (Btu) : bituminous coal : Illinois : electric utility non-cogen : monthly,Electricity
Billion Btu,SEDS.EMCCB.CA.A,"Fuel ethanol, excluding denaturant, consumed by the commercial sector , California",State Energy Data System (SEDS)
billion chained 2009 dollars (seasonally-adjusted annual rate),STEO.CGSP_MAC.M,"Real Gross State Product Middle Atlantic, Monthly",Short-Term Energy Outlook
Billion chained (2012) dollars,TOTAL.GDPRXUS.A,"U.S. Gross Domestic Product, Real, Annual",Total Energy
billion chained 2012 dollars (seasonally-adjusted annual rate),STEO.KRDRXUS.A,"Business Inventory Change, Annual",Short-Term Energy Outlook
billion cubic feet,INTL.26-1-TUV-BCF.A,"Dry natural gas production, Tuvalu, Annual",International Energy Data
Billion Cubic Feet,NG.RES_EPG0_R5304_SAK_BCF.A,"Alaska (with Total Offshore) Shale Proved Reserves Revision Decreases, Annual",Natural Gas
"billion cubic feet, end-of-period",STEO.NGWG_AK.M,"Natural Gas Working Inventory Alaska, Monthly",Short-Term Energy Outlook
billion cubic feet per day,STEO.NGMP48NGOM.M,"Natural Gas Lower 48 States (excl GOM) Marketed Production, Monthly",Short-Term Energy Outlook
billion cubic meters,INTL.26-4-KEN-BCM.A,"Dry natural gas exports, Kenya, Annual",International Energy Data
Billion Dollars,TOTAL.GDPRVUS.A,"U.S. Gross Domestic Product, Nominal, Annual",Total Energy
billion dollars at purchasing power parities,INTL.4701-34-ESP-BDOLPPP.A,"GDP at purchasing power parities, Spain, Annual",International Energy Data
billion kilowatthours,INTL.2-3-PSE-BKWH.A,"Electricity imports, Palestinian Territories, Annual",International Energy Data
billion kilowatthours per day,STEO.RFEPTOT.M,"Electric Power Sector Generation from Residual Fuel Oil, Monthly",
billion kWh,AEO.2015.HIGHMACRO.SAL_CHP_IDAL_MET_STG_NA_NA_BLNKWH.A,"Metal Based Durables : Combined Heat and Power : Net Generation : Sales to the Grid, High growth, AEO2015",Annual Energy Outlook 2015
billion miles,AEO.2018.HRNUC_LESS20.ECI_VMT_ALF1_FLTR_PI40GH_NA_NA_BLNMLS.A,"Fleet Vehicle Miles Traveled : Alternative-Fuel Light Trucks : Plug-in 40 Gasoline Hybrid, High resource, minus 20%, AEO2018",Annual Energy Outlook 2018
billion nom $,AEO.2018.RFNUC_PLUS20.EXPD_NOM_IDAL_NA_NRN_NA_ESC_BLNNOMDLR.A,"Energy Expenditures : Nominal : Non-Renewable Industrial, East South Central, Reference, plus 20%, AEO2018",Annual Energy Outlook 2018
billion passenger mi,AEO.2020.LORENCST._TRV_TRN_NA_RLP_NA_NA_BPM.A,"Transportation : Travel Indicators : Passenger Rail, Low renewable cost, AEO2020",Annual Energy Outlook 2020
billion revenue-passenger-miles,IEO.2019.REFERENCE.TR_AIRREVPASSENGER_NEA_DOM_BREVMILES.A,"Passenger air travel : Northeast Asia : Domestic, Reference, IEO2019",International Energy Outlook
billion revenue-ton-miles,IEO.2017.REFERENCE.TR_AIRREVFREIGHT_AFR_BREVMILES.A,"Freight air transport : Africa, Reference, IEO2017",International Energy Outlook
billions,AEO.2017.LOWRT.ECI_FTM_TRN_DMT_NA_NA_NA_BLN.A,"Freight : Domestic Shipping : Ton Miles Shipping, Low resource, AEO2017",Annual Energy Outlook 2017
billion seat miles,AEO.2020.LOWOGS.KEI_TRV_TRN_NA_AIR_NA_NA_BLNSEATMLS.A,"Transportation : Travel Indicators : Air, Low oil and gas supply, AEO2020",Annual Energy Outlook 2020
billion seat-miles,IEO.2017.REFERENCE.TR_AIRPASSENGER_USA_BSEATMILES.A,"Passenger air travel : United States, Reference, IEO2017",International Energy Outlook
billion sq ft,AEO.2019.LOWRT.KEI_FLR_COMM_HLC_NA_NA_NA_BLNSQFT.A,"Commercial : Floorspace : Health Care, Low resource, AEO2019",Annual Energy Outlook 2019
billion ton miles,AEO.2019.REF2019.KEI_TRV_TRN_NA_RAIL_NA_NA_BLNTNMLS.A,"Transportation : Travel Indicators : Rail, Reference, AEO2019",Annual Energy Outlook 2019
billion vehicle mile,AEO.2018.EFFRELAXALL._TRV_TRN_NA_BST_NA_NA_BLNVEHMLS.A,"Transportation : Travel Indicators : Bus, No new efficiency requirements, AEO2018",Annual Energy Outlook 2018
billion vehicle miles,AEO.2015.AEO2014FULL.KEI_TRV_TRN_NA_CML_NA_NA_BLNVEHMLS.A,"Transportation : Travel Indicators : Commercial Light Trucks, AEO2014 Reference, AEO2015",Annual Energy Outlook 2015
bill kwh,AEO.2014.NOGHGCONCERN.CNSM_NA_IDAL_NA_ELC_NA_FLRC_BLNKWH.A,"Electricity : Electricity Demand: Industrial, Florida Reliability Coordinating Council, No GHG concern, AEO2014",Annual Energy Outlook 2014
bill kWh,IEO.2017.REFERENCE.PGGEN_LIQ_RUS_BKWH.A,"Net liquids-fired electricity generation : Non-OECD : Non-OECD Europe and Eurasia : Russia, Reference, IEO2017",International Energy Outlook
bill miles,AEO.2014.LOWMACRO.ECI_RTM_AIRT_NA_NA_NA_EUR_BLNMLS.A,"Air Travel : Travel Demand: Revenue Ton Miles: Freight: Europe, Low growth, AEO2014",Annual Energy Outlook 2014
bill nom $,AEO.2014.LCCST14.EXPD_NOM_TRN_NA_RNW_NA_MTN_BLNNOMDLR.A,"Energy Expenditures : Nominal: Renewable Transportation, Mountain, Low coal cost, AEO2014",Annual Energy Outlook 2014
bill seat miles,AEO.2014.FLAT.KEI_TRV_TRN_NA_AIR_NA_NA_BLNSEATMLS.A,"Transportation : Travel Indicators: Air, Low electricity demand, AEO2014",Annual Energy Outlook 2014
bill sq ft,AEO.2014.LOWRESOURCE.KEI_FLR_CMM_FSC_NA_NA_NA_BLNSQFT.A,"Commercial : Floorspace: Food Service, Low resource, AEO2014",Annual Energy Outlook 2014
bill ton miles,AEO.2014.HCCSTOM.KEI_TRV_TRN_NA_DMT_NA_NA_BLNTNMLS.A,"Transportation : Travel Indicators: Domestic Shipping, Coal retirements, AEO2014",Annual Energy Outlook 2014
bill vehicle miles,AEO.2014.HIGHVMT.KEI_TRV_TRN_NA_CML_NA_NA_BLNVEHMLS.A,"Transportation : Travel Indicators: Commercial Light Trucks, High VMT, AEO2014",Annual Energy Outlook 2014
